fixture_id,season,match_date,home_team_name,away_team_name,home_goals,away_goals,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_offsides,away_offsides,source,manual_verification_status,official_reference_url,review_notes
1435770257,2025,2026-05-21,Kifisia,Larisa,3,2,6,2,1,1,0,0,21,16,10,4,8,12,,,Football-Data.co.uk,PENDING_MANUAL_REVIEW,,
1226289943,2025,2026-05-21,Panetolikos,Asteras Tripolis,1,2,5,7,1,5,0,1,19,11,7,6,14,15,,,Football-Data.co.uk,PENDING_MANUAL_REVIEW,,
1710982860,2025,2026-05-21,Atromitos,Panserraikos,6,0,3,4,0,0,0,0,15,5,9,0,15,10,,,Football-Data.co.uk,PENDING_MANUAL_REVIEW,,
1394033747,2025,2026-05-17,Panathinaikos,PAOK,2,2,10,6,2,2,0,0,17,17,7,5,12,8,,,Football-Data.co.uk,PENDING_MANUAL_REVIEW,,
1263651456,2025,2026-05-17,AEK Athens FC,Olympiakos Piraeus,1,1,4,3,3,3,0,0,11,13,4,5,16,15,,,Football-Data.co.uk,PENDING_MANUAL_REVIEW,,
1722486861,2025,2026-05-17,Aris Thessalonikis,Levadeiakos,3,0,11,0,2,6,0,1,21,5,10,1,23,15,,,Football-Data.co.uk,PENDING_MANUAL_REVIEW,,
1328609271,2025,2026-05-17,OFI,Volos NFC,3,1,4,3,3,2,0,0,20,15,4,3,13,12,,,Football-Data.co.uk,PENDING_MANUAL_REVIEW,,
1801918732,2025,2026-05-17,Panserraikos,Panetolikos,1,1,4,2,3,2,0,0,14,12,4,3,10,14,,,Football-Data.co.uk,PENDING_MANUAL_REVIEW,,
1509279170,2025,2026-05-16,Larisa,Atromitos,2,1,3,6,1,4,0,0,11,14,5,6,12,20,,,Football-Data.co.uk,PENDING_MANUAL_REVIEW,,
1499700316,2025,2026-05-16,Asteras Tripolis,Kifisia,0,0,11,2,1,5,0,0,25,8,4,2,6,19,,,Football-Data.co.uk,PENDING_MANUAL_REVIEW,,
1771255028,2025,2026-05-13,PAOK,AEK Athens FC,1,1,8,5,3,1,0,0,15,13,4,4,11,11,,,Football-Data.co.uk,PENDING_MANUAL_REVIEW,,
1511343519,2025,2026-05-13,Olympiakos Piraeus,Panathinaikos,1,0,5,0,2,1,0,0,15,5,5,0,19,12,,,Football-Data.co.uk,PENDING_MANUAL_REVIEW,,
1425190094,2025,2026-05-13,Volos NFC,Aris Thessalonikis,1,2,4,2,1,1,0,0,7,14,2,6,10,11,,,Football-Data.co.uk,PENDING_MANUAL_REVIEW,,
1245082032,2025,2026-05-13,Levadeiakos,OFI,3,2,5,1,4,8,0,1,18,10,7,3,18,19,,,Football-Data.co.uk,PENDING_MANUAL_REVIEW,,
1829186097,2025,2026-05-12,Asteras Tripolis,Panserraikos,1,0,11,2,4,3,1,2,7,4,1,2,18,11,,,Football-Data.co.uk,PENDING_MANUAL_REVIEW,,
1527905895,2025,2026-05-12,Panetolikos,Larisa,1,1,11,1,2,1,0,0,17,7,6,3,13,11,,,Football-Data.co.uk,PENDING_MANUAL_REVIEW,,
1239024892,2025,2026-05-12,Kifisia,Atromitos,0,3,5,9,0,1,0,0,10,10,4,5,13,11,,,Football-Data.co.uk,PENDING_MANUAL_REVIEW,,
1721323440,2025,2026-05-10,AEK Athens FC,Panathinaikos,2,1,8,1,4,3,0,0,17,10,6,3,11,16,,,Football-Data.co.uk,PENDING_MANUAL_REVIEW,,
1682047084,2025,2026-05-10,Olympiakos Piraeus,PAOK,1,1,5,1,1,6,0,0,25,8,7,2,7,10,,,Football-Data.co.uk,PENDING_MANUAL_REVIEW,,
1544955641,2025,2026-05-10,Aris Thessalonikis,OFI,3,1,5,5,1,1,0,0,15,15,5,5,13,9,,,Football-Data.co.uk,PENDING_MANUAL_REVIEW,,
1206349402,2025,2026-05-10,Volos NFC,Levadeiakos,0,3,4,1,2,1,0,1,9,14,2,5,21,12,,,Football-Data.co.uk,PENDING_MANUAL_REVIEW,,
1940461860,2025,2026-05-09,Atromitos,Panetolikos,1,2,4,3,1,3,0,0,10,10,3,4,15,17,,,Football-Data.co.uk,PENDING_MANUAL_REVIEW,,
1867776107,2025,2026-05-09,Larisa,Asteras Tripolis,1,1,6,4,3,5,0,0,17,9,4,3,12,14,,,Football-Data.co.uk,PENDING_MANUAL_REVIEW,,
1924007318,2025,2026-05-09,Panserraikos,Kifisia,1,2,6,1,2,3,0,0,11,11,3,4,11,22,,,Football-Data.co.uk,PENDING_MANUAL_REVIEW,,
1798510520,2025,2026-05-03,Panathinaikos,AEK Athens FC,0,0,2,7,1,6,1,0,9,14,5,4,13,19,,,Football-Data.co.uk,PENDING_MANUAL_REVIEW,,
1403775923,2025,2026-05-03,PAOK,Olympiakos Piraeus,3,1,3,9,1,1,0,0,7,17,6,5,12,7,,,Football-Data.co.uk,PENDING_MANUAL_REVIEW,,
1767444472,2025,2026-05-03,OFI,Aris Thessalonikis,0,2,3,7,2,4,0,0,11,11,1,3,8,21,,,Football-Data.co.uk,PENDING_MANUAL_REVIEW,,
1676290478,2025,2026-05-03,Levadeiakos,Volos NFC,5,2,3,4,2,2,0,1,12,12,9,7,15,14,,,Football-Data.co.uk,PENDING_MANUAL_REVIEW,,
1496318518,2025,2026-05-02,Asteras Tripolis,Atromitos,4,2,4,4,1,3,0,0,12,12,9,3,17,14,,,Football-Data.co.uk,PENDING_MANUAL_REVIEW,,
1962276695,2025,2026-05-02,Panserraikos,Larisa,1,1,5,2,2,7,0,1,11,6,3,3,4,18,,,Football-Data.co.uk,PENDING_MANUAL_REVIEW,,
1887319387,2025,2026-05-02,Panetolikos,Kifisia,0,1,5,2,6,4,0,0,6,11,2,4,14,19,,,Football-Data.co.uk,PENDING_MANUAL_REVIEW,,
1868064010,2025,2026-04-26,Larisa,Panserraikos,0,1,4,2,4,5,0,0,11,4,2,3,13,21,,,Football-Data.co.uk,PENDING_MANUAL_REVIEW,,
1270527438,2025,2026-04-26,Atromitos,Asteras Tripolis,2,1,5,10,1,1,0,0,13,13,8,4,11,14,,,Football-Data.co.uk,PENDING_MANUAL_REVIEW,,
1709076098,2025,2026-04-26,Kifisia,Panetolikos,0,0,3,1,3,4,0,0,21,4,9,1,18,20,,,Football-Data.co.uk,PENDING_MANUAL_REVIEW,,
1890726012,2025,2026-04-22,Asteras Tripolis,Panetolikos,2,1,1,2,5,1,0,0,17,6,5,5,15,9,,,Football-Data.co.uk,PENDING_MANUAL_REVIEW,,
